Original,Translated
i'm,i am
you're,you are
we're,we are
they're,they are
who're,who are
i've,i have
you've,you have
we've,we have
they've,they have
could've,could have
would've,would have
should've,should have
might've,might have
who've,who have
there've,there have
he's,he is
she's,she is
it's,it is
what's,what is
that's,that is
who's,who is
there's,there is
here's,here is
one's,one is
i'll,i will
you'll,you will
she'll,she will
he'll,he will
it'll,it will
we'll,we will
they'll,they will
that'll,that will
there'll,there will
this'll,this will
what'll,what will
who'll,who will
i'd,i would
you'd,you would
he'd,he would
she'd,she would
we'd,we would
they'd,they would
it'd,it would
there'd,there would
what'd,what would
who'd,who would
that'd,that would
let's,let us
can't,cannot
don't,do not
isn't,is not
won't,will not
shouldn't,should not
couldn't,could not
wouldn't,would not
aren't,are not
doesn't,does not
wasn't,was not
weren't,were not
hasn't,has not
haven't,have not
hadn't,had not
mustn't,must not
didn't,did not
mightn't,might not
needn't,need not
